managing_agency,fms_id,year-month_reported,total_budget,spend_to_date,spend_to_date_percent,budget_variance,budget_variance_percent
38,LBCENPH2,202309,38048000,0,0,0,0
38,LBEM05SWR,201910,43121000,,,,
38,LBEM05SWR,202305,39586000,0,0,-3535000,-0.0819
38,LBEM05SWR,202309,34869000,0,0,-4717000,-0.1191
38,LBK16HLRF,201910,988000,,,,
38,LBK16HLRF,202305,904000,0,0,-84000,-0.085
38,LBK16HLRF,202309,904000,0,0,0,0
38,LBK16SCRF,201910,850000,,,,
38,LBK16SCRF,202305,920000,0,0,70000,0.0823
38,LBK16SCRF,202309,8370000,0,0,7450000,8.0978
38,LBK22BRHC,202305,3759000,0,0,,
38,LBK22BRHC,202309,5887000,0,0,2128000,0.5661
38,LBM18NLOH,201904,28405000,,,,
38,LBM18NLOH,202305,28536000,0,0,131000,0.0046
38,LBM18NLOH,202309,28536000,0,0,0,0
38,LBM19CAOH,201910,20000000,,,,
38,LBM19CAOH,202305,20000000,0,0,0,0
38,LBM19CAOH,202309,20000000,0,0,0,0
38,LBM22PCOH,202305,24705000,,,,
38,LBM22PCOH,202305,24705000,0,0,0,0
38,LBM22PCOH,202309,24705000,0,0,0,0
38,LBM22WWBR,202104,7412000,,,,
38,LBM22WWBR,202305,7812000,0,0,400000,0.0539
38,LBM22WWBR,202309,7812000,0,0,0,0
38,LBP18LDIN,202305,4500000,0,0,,
38,LBP18PCAD,201910,3500000,,,,
38,LBP18PCAD,202305,9341000,0,0,5841000,1.6688
38,LBP18PCAD,202309,9341000,0,0,0,0
39,LQ122-GEN,201201,5691000,,,,
39,LQ122-GEN,202305,31057000,0,0,25366000,4.4572
39,LQ122-GEN,202309,44415000,0,0,13358000,0.4301
39,LQBCHREAD,201902,250000,,,,
39,LQBCHREAD,202305,230000,0,0,-20000,-0.08
39,LQBCHREAD,202309,230000,0,0,0,0
39,LQBC-RES,202309,1800000,0,0,,
39,LQBC-ROOF,201902,545000,,,,
39,LQBC-ROOF,202305,490000,0,0,-55000,-0.1009
39,LQBC-ROOF,202309,490000,0,0,0,0
